event_id,event_name,date,location,fight_id,division,title_fight,method,finish_round,match_time_sec,total_rounds,referee,r_name,r_id,r_kd,r_sig_str_landed,r_sig_str_atmpted,r_sig_str_acc,r_total_str_landed,r_total_str_atmpted,r_total_str_acc,r_td_landed,r_td_atmpted,r_td_acc,r_sub_att,r_ctrl,r_head_landed,r_head_atmpted,r_head_acc,r_body_landed,r_body_atmpted,r_body_acc,r_leg_landed,r_leg_atmpted,r_leg_acc,r_dist_landed,r_dist_atmpted,r_dist_acc,r_clinch_landed,r_clinch_atmpted,r_clinch_acc,r_ground_landed,r_ground_atmpted,r_ground_acc,r_landed_head_per,r_landed_body_per,r_landed_leg_per,r_landed_dist_per,r_landed_clinch_per,r_landed_ground_per,r_nick_name,r_wins,r_losses,r_draws,r_height,r_weight,r_reach,r_stance,r_dob,r_splm,r_str_acc,r_sapm,r_str_def,r_td_avg,r_td_avg_acc,r_td_def,r_sub_avg,b_name,b_id,b_kd,b_sig_str_landed,b_sig_str_atmpted,b_sig_str_acc,b_total_str_landed,b_total_str_atmpted,b_total_str_acc,b_td_landed,b_td_atmpted,b_td_acc,b_sub_att,b_ctrl,b_head_landed,b_head_atmpted,b_head_acc,b_body_landed,b_body_atmpted,b_body_acc,b_leg_landed,b_leg_atmpted,b_leg_acc,b_dist_landed,b_dist_atmpted,b_dist_acc,b_clinch_landed,b_clinch_atmpted,b_clinch_acc,b_ground_landed,b_ground_atmpted,b_ground_acc,b_landed_head_per,b_landed_body_per,b_landed_leg_per,b_landed_dist_per,b_landed_clinch_per,b_landed_ground_per,b_nick_name,b_wins,b_losses,b_draws,b_height,b_weight,b_reach,b_stance,b_dob,b_splm,b_str_acc,b_sapm,b_str_def,b_td_avg,b_td_avg_acc,b_td_def,b_sub_avg,winner,winner_id
65ddc8a9ac4e8531,UFC 126: Silva vs Belfort,2/5/2011,"Las Vegas, Nevada, USA",20aa994cd23074b9,bantamweight,0,Decision - Unanimous,3,300,3,Mario Yamasaki,Norifumi Yamamoto,4834ff149dc9542a,0,16,65,24,17,66,26,0,2,0,0,26,12,59,20,3,5,60,1,1,100,14,59,24,2,5,40,0,1,0,75,18,6,87,12,0,Kid,18,6,0,162.56,61.23,167.64,Southpaw,3/15/1977,2.09,45,2.01,57,0.41,22,45,0,Demetrious Johnson,8a304bfd6bf04a57,0,38,102,37,70,134,52,10,15,66,0,225,17,73,23,12,15,80,9,14,64,23,82,28,12,17,71,3,3,100,44,31,23,60,31,7,Mighty Mouse,27,3,1,160.02,56.7,167.64,Orthodox,8/13/1986,3.43,54,1.66,67,3.35,56,65,0.5,Demetrious Johnson,8a304bfd6bf04a57
65ddc8a9ac4e8531,UFC 126: Silva vs Belfort,2/5/2011,"Las Vegas, Nevada, USA",ae3ab5d1892153ef,featherweight,0,Decision - Unanimous,3,300,3,Herb Dean,Chad Mendes,b5b684eac99ae0a3,0,56,123,45,67,139,48,4,10,40,0,376,39,102,38,4,7,56,13,14,93,38,96,40,1,1,100,17,26,65,69,7,23,67,1,30,Money,18,5,0,167.64,65.77,167.64,Orthodox,5/1/1985,2.78,49,2.35,67,4.13,55,100,0.3,Michihiro Omigawa,9f842be1a5337be6,0,18,92,19,59,141,42,0,1,0,2,33,15,88,17,2,3,67,1,1,100,15,88,17,3,4,75,0,0,,83,11,5,83,16,0,,17,14,1,167.64,65.77,172.72,Orthodox,12/19/1975,2.01,39,3.06,64,1.19,36,49,1.5,Chad Mendes,b5b684eac99ae0a3
65ddc8a9ac4e8531,UFC 126: Silva vs Belfort,2/5/2011,"Las Vegas, Nevada, USA",95f136c07f9834be,lightweight,0,KO/TKO,2,102,3,Kim Winslow,Paul Taylor,9b74de674c355425,1,37,61,60,47,72,65,0,1,0,0,199,31,54,56,3,3,100,3,4,75,25,44,56,11,15,73,1,2,50,83,8,8,67,29,2,Relentless,11,6,1,182.88,70.31,182.88,Orthodox,12/15/1979,4.44,47,4.47,55,0.27,25,56,0.5,Gabe Ruediger,ccba80d4820ef557,0,17,49,34,60,95,63,0,6,0,0,68,10,38,26,5,7,71,2,4,50,11,35,31,6,14,43,0,0,,58,29,11,64,35,0,Godzilla,18,8,0,177.8,70.31,,Orthodox,8/29/1977,1.7,31,5.16,41,2.04,11,28,0,Paul Taylor,9b74de674c355425
65ddc8a9ac4e8531,UFC 126: Silva vs Belfort,2/5/2011,"Las Vegas, Nevada, USA",c1843fa8f113d321,light heavyweight,0,KO/TKO,1,21,3,Steve Mazzagatti,Kyle Kingsbury,b959e8c7fd8390d2,1,9,13,69,12,16,75,0,0,,0,7,5,9,56,3,3,100,1,1,100,2,3,67,5,6,83,2,4,50,55,33,11,22,55,22,Kingsbu,11,6,0,193.04,92.99,200.66,Orthodox,3/22/1982,2.97,40,3.81,51,2.64,41,52,0,Ricardo Romero,744e098e065cfdbe,0,1,3,33,1,3,33,0,0,,0,0,1,3,33,0,0,,0,0,,1,3,33,0,0,,0,0,,100,0,0,100,0,0,,11,3,0,182.88,92.99,193.04,Orthodox,4/15/1978,2.17,55,4.77,46,1.63,10,100,3.3,Kyle Kingsbury,b959e8c7fd8390d2
65ddc8a9ac4e8531,UFC 126: Silva vs Belfort,2/5/2011,"Las Vegas, Nevada, USA",791b8b3a475487e9,welterweight,0,KO/TKO,2,29,3,Herb Dean,Mike Pierce,236a37d96d476164,1,19,37,51,33,51,65,2,4,50,1,238,15,33,45,3,3,100,1,1,100,6,17,35,4,9,44,9,11,82,78,15,5,31,21,47,,17,7,0,172.72,77.11,180.34,Orthodox,9/1/1980,2.62,42,2.36,62,3.08,42,71,0.2,Kenny Robertson,6e0273f9478be71e,0,12,36,33,24,51,47,0,0,,0,13,3,22,14,9,13,69,0,1,0,1,18,6,11,18,61,0,0,,25,75,0,8,91,0,,15,5,0,177.8,77.11,187.96,Orthodox,2/14/1984,3.72,47,3.02,52,1.37,26,57,0.8,Mike Pierce,236a37d96d476164
88a9bc81271ccd89,UFC 127: Penn vs Fitch,2/26/2011,"Sydney, New South Wales, Australia",f825e17e7a1332cd,welterweight,0,Decision - Majority,3,300,3,Herb Dean,BJ Penn,73c7cfa551289285,0,12,29,41,48,66,73,2,3,66,1,216,9,25,36,1,1,100,2,3,67,1,10,10,8,15,53,3,4,75,75,8,16,8,66,25,The Prodigy,16,14,2,175.26,70.31,177.8,Orthodox,12/13/1978,2.76,48,3.2,56,1.19,55,74,0.5,Jon Fitch,6f018c039b4d5d80,0,47,72,65,231,287,80,4,11,36,0,643,29,51,56,9,12,75,9,9,100,5,6,83,16,27,59,26,39,67,61,19,19,10,34,55,,30,7,1,182.88,77.11,187.96,Orthodox,2/24/1978,2.61,50,1.65,54,3.6,51,56,0.8,,
88a9bc81271ccd89,UFC 127: Penn vs Fitch,2/26/2011,"Sydney, New South Wales, Australia",d5e7fe1f5035505c,welterweight,0,Decision - Unanimous,3,300,3,Steve Perceval,Brian Ebersole,32ba186f4b0e3267,1,32,61,52,73,104,70,4,8,50,1,452,17,42,40,9,10,90,6,9,67,15,33,45,8,13,62,9,15,60,53,28,18,46,25,28,Bad Boy,51,18,1,182.88,77.11,185.42,Southpaw,11/27/1980,2.32,49,2.14,56,1.7,23,61,0.1,Chris Lytle,91acd6910b802a9e,0,24,66,36,56,104,54,0,0,,5,91,13,48,27,11,17,65,0,1,0,19,54,35,5,12,42,0,0,,54,45,0,79,20,0,Lights Out,31,18,5,180.34,77.11,172.72,Orthodox,8/18/1974,3.76,45,3.03,58,0.7,55,55,2.4,Brian Ebersole,32ba186f4b0e3267
88a9bc81271ccd89,UFC 127: Penn vs Fitch,2/26/2011,"Sydney, New South Wales, Australia",2dd864ec1a1a4031,lightweight,0,Decision - Unanimous,3,300,3,Leon Roberts,George Sotiropoulos,896c322f56b8be5a,0,38,204,18,38,204,19,0,13,0,0,8,28,176,16,6,18,33,4,10,40,38,200,19,0,4,0,0,0,,73,15,10,100,0,0,,14,7,0,177.8,70.31,180.34,Orthodox,7/9/1977,2.61,27,2.52,67,2.32,31,53,1.6,Dennis Siver,5f87a5c00b3d17ed,2,74,226,32,79,231,34,0,0,,0,18,40,181,22,12,17,71,22,28,79,67,214,31,4,9,44,3,3,100,54,16,29,90,5,4,,23,11,0,167.64,65.77,177.8,Orthodox,1/13/1979,3.87,32,2.67,65,0.87,32,65,0.3,Dennis Siver,5f87a5c00b3d17ed
88a9bc81271ccd89,UFC 127: Penn vs Fitch,2/26/2011,"Sydney, New South Wales, Australia",0f461c4ddf70eff9,middleweight,0,KO/TKO,2,114,3,Marc Goddard,Michael Bisping,2b93ebd9f5417ad2,1,50,123,40,57,132,43,3,8,37,0,77,40,113,35,5,5,100,5,5,100,28,89,31,15,23,65,7,11,64,80,10,10,56,30,14,The Count,30,9,0,185.42,83.91,190.5,Orthodox,2/28/1979,4.33,38,2.71,65,1.05,43,63,0.3,Jorge Rivera,cb46dface0e28a2c,0,8,53,15,9,54,17,0,0,,0,0,6,48,12,0,3,0,2,2,100,8,52,15,0,1,0,0,0,,75,0,25,100,0,0,El Conquistador,20,9,0,185.42,83.91,185.42,Orthodox,2/28/1972,3.16,48,2.64,54,0.84,50,63,0.1,Michael Bisping,2b93ebd9f5417ad2
88a9bc81271ccd89,UFC 127: Penn vs Fitch,2/26/2011,"Sydney, New South Wales, Australia",72372c31dee3cadc,lightweight,0,Decision - Unanimous,3,300,3,Herb Dean,Ross Pearson,4f732e58ed907eff,0,59,198,29,69,210,33,3,6,50,0,116,38,158,24,10,23,43,11,17,65,50,180,28,8,12,67,1,6,17,64,16,18,84,13,1,The Real Deal,20,16,0,172.72,70.31,175.26,Orthodox,9/26/1984,3.68,40,4.09,62,0.74,35,75,0,Spencer Fisher,f34312c2ccfa0e00,0,38,151,25,43,156,28,1,1,100,0,32,21,128,16,4,8,50,13,15,87,33,142,23,4,8,50,1,1,100,55,10,34,86,10,2,The King,24,9,0,170.18,70.31,172.72,Southpaw,5/9/1976,3.17,43,3.03,64,0.67,30,60,0.8,Ross Pearson,4f732e58ed907eff
